		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 1.156250	M = 600	N = 8	m = 9	n = 4800
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
110111100    1    4    3    2    1    1    2    0 12.639677 0.124863 SUCCESS 117
111000000    0    2    1    3    0    1    0    1  7.233508 0.511661 SUCCESS 118
111000010    1    0    0    1    1    2    0    1  4.254599 0.833453 SUCCESS 119
111000100    1    0    3    1    1    1    2    4 12.032862 0.149744 SUCCESS 120
111000110    1    0    1    2    1    3    3    1  7.895488 0.443745 SUCCESS 121
111001000    2    1    0    0    0    0    3    1  8.391973 0.396147 SUCCESS 122
111001010    1    1    0    2    2    3    4    1 12.639677 0.124863 SUCCESS 123
111001100    1    1    1    3    3    2    0    1  7.895488 0.443745 SUCCESS 124
111010000    2    0    1    0    2    0    1    2  5.468229 0.706557 SUCCESS 125
111010010    2    4    2    2    1    1    1    0 10.267582 0.246745 SUCCESS 126
111010100    1    2    2    1    2    0    2    3  6.737024 0.565253 SUCCESS 127
111010110    0    1    1    0    0    2    2    3  7.840323 0.449221 SUCCESS 128
111011000    1    2    3    1    2    0    2    0  7.288673 0.505831 SUCCESS 129
111011010    2    1    2    0    0    0    0    1  6.019879 0.645005 SUCCESS 130
111011100    0    2    0    2    2    1    0    2  6.075044 0.638826 SUCCESS 131
111100000    1    1    1    4    0    0    1    0 10.764067 0.215429 SUCCESS 132
111100010    0    1    3    3    2    2    1    3 11.481212 0.175895 SUCCESS 133
111100100    2    2    0    0    1    0    1    1  4.861414 0.772281 SUCCESS 134
111100110    1    0    1    3    4    1    1    1 11.426047 0.178707 SUCCESS 135
111101000    2    1    0    0    1    2    1    2  4.309764 0.828150 SUCCESS 136
111101010    1    1    3    0    2    0    1    3  9.053953 0.337765 SUCCESS 137
111101100    0    3    4    2    0    1    2    1 13.798141 0.087181 SUCCESS 138
111101110    1    1    1    0    3    0    1    1  5.468229 0.706557 SUCCESS 139
111110000    1    1    0    1    0    0    0    0  5.964714 0.651185 SUCCESS 140
111110010    2    0    1    0    2    1    0    0  6.019879 0.645005 SUCCESS 141
111110100    0    3    1    1    1    1    2    1  4.916579 0.766454 SUCCESS 142
111110110    0    3    4    2    0    2    2    0 15.563421 0.049073 SUCCESS 143
111111000    1    0    2    2    1    1    0    0  4.861414 0.772281 SUCCESS 144
111111010    0    3    2    0    1    1    2    1  6.681859 0.571314 SUCCESS 145
111111100    2    1    0    1    3    2    1    1  5.523394 0.700447 SUCCESS 146
111111110    1    2    0    1    1    1    1    1  1.937670 0.982863 SUCCESS 147

